gradoRiesgo,perdidasNormalizadas,marca,aspiracion,nroPuertas,tipoCabina,tipoTraccion,ubicacionMotor,distanciaRuedas,largo,ancho,altura,peso,tipoMotor,nroCilindros,tamañoMotor,fuel-system,diametroCilindro,carrera,indiceCcompresión,potencia,rpmLimite,mpgCiudad,mpgCarretera,PRECIO,eficienciaCombustible,tipoCombustible
1,168,toyota,std,two,hatchback,rwd,front,94.5,0.810667948101874,0.888888888888889,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34,8238,8.10344827586207,gas
1,168,toyota,std,two,sedan,rwd,front,94.5,0.810667948101874,0.888888888888889,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29,9298,9.03846153846154,gas
1,168,toyota,std,two,hatchback,rwd,front,94.5,0.810667948101874,0.888888888888889,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29,9538,9.03846153846154,gas
2,134,toyota,std,two,hardtop,rwd,front,98.4,0.846708313310908,0.911111111111111,52.0,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,8449,9.79166666666667,gas
2,134,toyota,std,two,hardtop,rwd,front,98.4,0.846708313310908,0.911111111111111,52.0,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,9639,9.79166666666667,gas
2,134,toyota,std,two,hatchback,rwd,front,98.4,0.846708313310908,0.911111111111111,52.0,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,9989,9.79166666666667,gas
2,134,toyota,std,two,hardtop,rwd,front,98.4,0.846708313310908,0.911111111111111,52.0,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,11199,9.79166666666667,gas
2,134,toyota,std,two,hatchback,rwd,front,98.4,0.846708313310908,0.911111111111111,52.0,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,11549,9.79166666666667,gas
2,134,toyota,std,two,convertible,rwd,front,98.4,0.846708313310908,0.911111111111111,53.0,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,17669,9.79166666666667,gas
-1,65,toyota,std,four,sedan,fwd,front,102.4,0.843825084094185,0.923611111111111,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,29,34,8948,8.10344827586207,gas
-1,65,toyota,turbo,four,sedan,fwd,front,102.4,0.843825084094185,0.923611111111111,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73.0,4500.0,30,33,10698,7.83333333333333,diesel
-1,65,toyota,std,four,hatchback,fwd,front,102.4,0.843825084094185,0.923611111111111,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,9988,8.7037037037037,gas
-1,65,toyota,std,four,sedan,fwd,front,102.4,0.843825084094185,0.923611111111111,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,10898,8.7037037037037,gas
-1,65,toyota,std,four,hatchback,fwd,front,102.4,0.843825084094185,0.923611111111111,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,11248,8.7037037037037,gas
3,197,toyota,std,two,hatchback,rwd,front,102.9,0.881787602114368,0.940277777777778,52.0,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,20,24,16558,11.75,gas
3,197,toyota,std,two,hatchback,rwd,front,102.9,0.881787602114368,0.940277777777778,52.0,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,19,24,15998,12.3684210526316,gas
-1,90,toyota,std,four,sedan,rwd,front,104.5,0.902450744834214,0.923611111111111,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156.0,5200.0,20,24,15690,11.75,gas
-1,122,toyota,std,four,wagon,rwd,front,104.5,0.902450744834214,0.923611111111111,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156.0,5200.0,19,24,15750,12.3684210526316,gas
2,122,volkswagen,std,two,sedan,fwd,front,97.3,0.825084094185488,0.909722222222222,55.7,2261,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,37,46,7775,6.35135135135135,diesel
2,122,volkswagen,std,two,sedan,fwd,front,97.3,0.825084094185488,0.909722222222222,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,7975,8.7037037037037,gas
2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.825084094185488,0.909722222222222,55.7,2264,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,37,46,7995,6.35135135135135,diesel
2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.825084094185488,0.909722222222222,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,8195,8.7037037037037,gas
2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.825084094185488,0.909722222222222,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,8495,8.7037037037037,gas
