mpgCarretera,potencia,tamañoMotor,peso,PRECIO,Linear Regression
continuous,continuous,continuous,continuous,continuous,continuous
,,,,class,meta
27.0,111.0,130.0,2548.0,13495.0,13699.11161184327
27.0,111.0,130.0,2548.0,16500.0,13699.11161184327
26.0,154.0,152.0,2823.0,16500.0,19051.654702332744
30.0,102.0,109.0,2337.0,13950.0,10620.36193014896
22.0,115.0,136.0,2824.0,17450.0,15521.31420210586
25.0,110.0,136.0,2507.0,15250.0,13869.66673213245
25.0,110.0,136.0,2844.0,17710.0,15456.16196731734
25.0,110.0,136.0,2954.0,18920.0,15974.009076724877
20.0,140.0,131.0,3086.0,23875.0,17612.359171606833
29.0,101.0,108.0,2395.0,16430.0,10722.325090972809
29.0,101.0,108.0,2395.0,16925.0,10722.325090972809
28.0,121.0,164.0,2710.0,20970.0,17804.803073969437
28.0,121.0,164.0,2765.0,21105.0,18063.726628673205
25.0,121.0,164.0,3055.0,24565.0,19320.787450661795
22.0,182.0,209.0,3230.0,30760.0,26968.564928014028
22.0,182.0,209.0,3380.0,41315.0,27674.72007720612
20.0,182.0,209.0,3505.0,36880.0,28191.06772389989
53.0,48.0,61.0,1488.0,5151.0,650.6231768752768
43.0,70.0,90.0,1874.0,6295.0,5648.504896420098
43.0,70.0,90.0,1909.0,6575.0,5813.2744312315845
41.0,68.0,90.0,1876.0,5572.0,5478.81383232426
38.0,68.0,90.0,1876.0,6377.0,5370.641365874806
30.0,102.0,98.0,2128.0,7957.0,8739.619520241147
38.0,68.0,90.0,1967.0,6229.0,5799.042156384676
38.0,68.0,90.0,1989.0,6692.0,5902.61157826618
38.0,68.0,90.0,1989.0,7609.0,5902.61157826618
30.0,102.0,98.0,2191.0,8558.0,9036.204682901822
30.0,88.0,122.0,2535.0,8921.0,11863.439737593784
24.0,145.0,156.0,2811.0,12964.0,18767.70667001487
54.0,58.0,92.0,1713.0,6479.0,4808.309010198442
38.0,76.0,92.0,1819.0,6855.0,5693.328890632663
42.0,60.0,79.0,1837.0,5399.0,4006.472126508903
34.0,76.0,92.0,1940.0,6529.0,6118.730755715016
34.0,76.0,92.0,1956.0,7129.0,6194.05397162884
34.0,76.0,92.0,2010.0,7295.0,6448.269825337993
34.0,76.0,92.0,2024.0,7295.0,6514.177639262583
33.0,86.0,110.0,2236.0,7895.0,9478.654952346842
33.0,86.0,110.0,2289.0,9095.0,9728.16310506138
33.0,86.0,110.0,2304.0,8845.0,9798.778619980592
33.0,86.0,110.0,2372.0,10295.0,10118.902287614335
28.0,101.0,110.0,2465.0,12945.0,11178.867199421755
31.0,100.0,110.0,2293.0,10345.0,10423.81935057156
29.0,78.0,111.0,2337.0,6785.0,9463.467107549746
29.0,90.0,119.0,2734.0,11048.0,12626.615443693889
19.0,176.0,258.0,4066.0,32250.0,34470.038954945674
19.0,176.0,258.0,4066.0,35550.0,34470.038954945674
17.0,262.0,326.0,3950.0,36000.0,43996.52260522121
31.0,68.0,91.0,1890.0,5195.0,5265.677021905245
38.0,68.0,91.0,1900.0,6095.0,5565.156453566771
38.0,68.0,91.0,1905.0,6795.0,5588.69495853984
38.0,68.0,91.0,1945.0,6695.0,5777.002998324395
38.0,68.0,91.0,1950.0,7395.0,5800.541503297467
23.0,101.0,70.0,2380.0,10945.0,7337.214617948048
23.0,101.0,70.0,2380.0,11845.0,7337.214617948048
23.0,101.0,70.0,2385.0,13645.0,7360.753122921124
23.0,135.0,80.0,2500.0,15645.0,10536.296679199677
32.0,84.0,122.0,2385.0,8845.0,11015.416589130466
32.0,84.0,122.0,2410.0,8495.0,11133.109113995815
32.0,84.0,122.0,2385.0,10595.0,11015.416589130466
32.0,84.0,122.0,2410.0,10245.0,11133.109113995815
42.0,64.0,122.0,2443.0,10795.0,10579.123250461926
32.0,84.0,122.0,2425.0,11245.0,11203.72462891502
27.0,120.0,140.0,2670.0,18280.0,15570.215469432886
39.0,72.0,134.0,2700.0,18344.0,13087.159059291378
25.0,123.0,183.0,3515.0,25552.0,23142.396409239627
25.0,123.0,183.0,3750.0,28248.0,24248.706142973897
25.0,123.0,183.0,3495.0,28176.0,23048.242389347346
25.0,123.0,183.0,3770.0,31600.0,24342.860162866178
18.0,155.0,234.0,3740.0,34184.0,29819.133981428553
18.0,155.0,234.0,3685.0,35056.0,29560.210426724785
16.0,184.0,308.0,3900.0,40960.0,38084.86726826008
16.0,184.0,304.0,3715.0,45400.0,36887.82152897159
24.0,175.0,140.0,2910.0,16503.0,19534.157174123495
41.0,68.0,92.0,1918.0,5389.0,5839.5978017405
38.0,68.0,92.0,1944.0,6189.0,5853.82556115101
38.0,68.0,92.0,2004.0,6669.0,6136.287620827847
30.0,102.0,98.0,2145.0,7689.0,8819.650437149583
30.0,116.0,110.0,2370.0,9959.0,11606.186745957137
32.0,88.0,122.0,2328.0,8499.0,10961.060609341668
24.0,145.0,156.0,2833.0,12629.0,18871.276091896383
24.0,145.0,156.0,2921.0,14869.0,19285.553779422407
24.0,145.0,156.0,2926.0,14489.0,19309.092284395476
32.0,88.0,122.0,2365.0,6989.0,11135.245546142385
32.0,88.0,122.0,2405.0,8189.0,11323.553585926944
30.0,116.0,110.0,2403.0,9279.0,11761.5408787794
30.0,116.0,110.0,2403.0,9279.0,11761.5408787794
37.0,69.0,97.0,1889.0,5499.0,6019.991580962949
